Category,Food Name,熱量(kcal),水分(g),粗蛋白(g),粗脂肪(g),飽和脂肪(g),灰分(g),總碳水化合物(g),膳食纖維(g),糖質總量(g),葡萄糖(g),果糖(g),半乳糖(g),麥芽糖(g),蔗糖(g),乳糖(g),鈉(mg),鉀(mg),鈣(mg),鎂(mg),鐵(mg),鋅(mg),磷(mg),銅(mg),視網醇當量(RE)(ug),β-胡蘿蔔素(ug),α-維生素E當量(α-TE)(mg),維生素B1(mg),維生素B2(mg),菸鹼素(mg),維生素B6(mg),維生素B12(ug),葉酸(ug),維生素C(mg),脂肪酸S總量(mg),脂肪酸M總量(mg),脂肪酸P總量(mg),亞麻油酸(18:2)(mg),次亞麻油酸(18:3)(mg),其他脂肪酸(mg),反式脂肪(mg),酥胺酸(Thr),胱胺酸(Cys),纈胺酸(Val),甲硫胺酸(Met),異白胺酸(Ile),白胺酸(Leu),酪胺酸(Tyr),苯丙胺酸(Phe),離胺酸(Lys),組胺酸(His),精胺酸(Arg),色胺酸(Trp),膽固醇(mg),酒精含量(g),醣類熱量%,脂肪熱量%,蛋白質熱量%,酒精熱量%
穀物類,"大麥仁",364.6228,11.6693,8.5578,1.5935,0.4673,1.0376,77.1418,8.4591,0.425,0,0.0395,0,0.036,0.3495,0,12.6115,249.1658,25.88,54.4337,1.7745,1.228,164.6799,0.2199,0,0,0.4737,0.1663,0.0323,3.3286,0.1827,0,49.5718,0.15,467.252444,165.077039,945.515973,890.57528,54.940693,15.6402025,0,274.6759,225.0715,404.8026,66.2403,283.7671,587.3824,244.5697,422.8116,288.1291,233.3535,381.1231,93.4647,0,,87.16520419,3.657915707,9.1768801,
穀物類,"大麥片",364.6155,12.09,8.636,1.79,0.4558,0.8174,76.6666,5.9987,,,,,,,,7.185,245.965,12.665,55.185,2.245,0.826,129.095,,0,0,0.1334,0.149,0.035,3.225,0.1826,,27.7,9.82,455.78233,307.78155,1026.42717,963.16499,63.26218,0,,287.615,351.4586,427.17,106.265,330.845,653.915,276.395,473.57,311.6,200.565,422.145,43.84,,,86.63000711,4.109068861,9.260924027,
穀物類,"大麥仁粉",388.8475,5.733,7.118,1.3142,0.3678,0.8794,84.9554,7.2048,0,0,0,,0,0,0,9.83,307.271,25.2358,49.8125,1.145,1.333,165.699,,0,0,0.0831,0.09,0.031,2.853,0.229,,44.673,0,367.84458,220.85131,725.530394,683.58113,41.949264,0,,272.268,148.363,431.049,116.97,319.158,640.176,251.366,431.829,269.083,183.864,346.547,138.92,,,90.01376226,2.828835086,7.157402655,
穀物類,"小米",370.1938,12.26,11.3135,3.655,0.4416,1.0808,71.6907,2.2226,,,,,,,,1,201.92,4.795,107.75,2.89,2.2825,164.29,,0,0,0.1971,0.455,0.11,4.145,0.3249,,45.15,0.15,441.600755,826.41743,2386.967195,2352.076565,34.89063,0,,311.17,264.8201,461.765,231.605,403.275,771.795,366.83,545.75,146.685,214.705,330.945,160.47,,,79.78676813,8.263873795,11.94935807,
穀物類,"糯小米",360.1972,12.864,12.465,1.5164,0.2565,0.6384,72.5162,1.4293,0,0,0,,0,0,0,1.206,142.4715,8.598,47.8325,2.2355,2.0345,107.5975,,9.565,57.3785,0.0731,0.168,0.0597,2.1692,0.1932,,28.4795,0.5,256.5172568,341.2339756,918.248438,900.7658624,17.4825756,0.401846,,293.486,226.668,505.9465,132.8125,479.274,1615.3075,398.627,638.314,127.381,233.068,270.7245,179.2785,,,82.94533537,3.523700167,13.53096447,
穀物類,"小麥",361.6418,12.63,14.118,2.565,0.4667,1.5192,69.1678,11.2724,,,,,,,,1.37,364.35,18.875,137.285,3.39,2.998,240.805,,0,0,1.7096,0.411,0.095,5.39,0.2655,,73.3,5.115,466.719705,458.080785,1640.196945,1526.32377,113.873175,0,,426.415,574.2395,588.265,184.92,493.165,1023.88,456.78,710.825,396.9,357.175,669.325,0,,,78.7993431,5.936551587,15.26410531,
穀物類,"小麥胚芽",417.0033,4.23,31.362,11.585,1.7347,4.9076,47.9154,9.98,,,,,,,,3.115,986.125,44.98,333.04,6.005,14.946,1172.745,,2.9039,17.42,16.081,2.437,0.5195,4.0205,1.4018,,329.295,0,1734.7379,1869.506205,7989.583665,7141.17936,848.404305,0,,1234.72,1411.5389,1472.785,393.06,991.185,1994.645,832.6,1080.48,1995.715,778.77,2619.56,321.12,,,47.34049814,23.2531603,29.40634156,
穀物類,"去筋麵粉",354.9493,13.643,0.181,0.1165,0,0.3152,85.7443,0.4484,0,0,0,,0,0,0,28.606,9.027,6.5847,2.3713,0,0,38.2861,,0,0,0.0201,0.01,0,0.097,0.023,,17.209,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.52589994,0.274716675,0.199383387,
穀物類,"低筋麵粉",363.6075,12.045,8.0855,1.175,0.2458,0.5007,78.1938,1.9804,,,,,,,,1.43,147.535,12.38,26.44,1.19,0.599,74.845,,0,0,0.5117,0.1695,0.035,0.875,0.0746,,40,5.11,245.7865,178.9243,750.28215,706.16325,44.1189,0,,247.48,329.1621,376.135,43.24,298.95,596.685,215.065,381.98,207.56,198.49,321.53,55.5,,,88.60060539,2.704770859,8.694623748,
穀物類,"中筋麵粉",361.0283,12.635,11.4535,1.31,0.2763,0.5043,74.0972,1.8165,,,,,,,,3.65,124.835,11.67,28.77,0.915,0.6825,75.86,,0,0,0.349,0.123,0.075,1.01,0.0818,,43.8,5.08,276.26066,211.36588,822.3656,777.21907,45.14653,0,,335.34,441.7523,525.205,148.96,455.74,897.835,389.02,625.91,267.37,282.335,474.315,0,,,84.55858518,3.037074521,12.4043403,
穀物類,"高筋麵粉",361.5771,12.25,12.945,1.19,0.2538,0.5563,73.0587,1.881,,,,,,,,0.8,107.835,11.195,33.455,1.165,0.8525,81.325,,0,0,0.2967,0.1175,0.03,1.125,0.0745,,48.6,4.985,253.82462,191.67211,744.49613,707.09681,37.39932,0,,381.645,487.9994,587.37,57.77,473.49,931.88,348.165,617.435,286.365,318.495,457.76,72.81,,,83.24693378,2.754682242,13.99838398,
穀物類,"高筋麵粉(2021年取樣)",362.2052,12.34,13.805,1.2755,0.4902,0.3582,72.2213,2.4611,0.333,0,0,0,0.154,0.179,0,0.98,97.78,14.225,30.11,0.9,0.98,86.09,0.1539,0,0,0.4352,0.067,0.0272,0,0,0,30.356,4.83,490.2294965,159.2576545,570.941861,547.8744435,23.0674175,55.0697125,0,335.778,218.07,551.368,106.492,465.798,957.97,451.046,696.497,257.352,271.806,490.828,117.02,0,,82.15004156,2.947482198,14.90247625,
穀物類,"全麥麵粉",359.2716,12.736,12.968,1.706,0.3209,1.161,71.429,8.0093,0.3445,0,0,,0,0.3445,0,1.6383,276.5703,22.712,96.5543,3.3687,2.3437,251.0123,,0,0,0.9126,0.3267,0.0673,4.0897,0.2427,,71.0957,7.1357,320.903718,308.823532,1073.932118,1010.823766,63.108352,2.342338,,392.4113,296.6648,597.2693,144.7753,515.403,1008.3577,423.8647,665.7643,362.5323,329.356,561.027,187.796,,,81.91226258,3.974491943,14.11324547,
穀物類,"雜糧中筋麵粉",360.9425,11.652,13.113,2.2865,0.6377,0.9705,71.978,5.6845,0.835,0.176,0,,0.395,0.264,0,1.906,207.31,23.678,52.348,1.769,1.666,174.852,0.0207,0,0,0.8929,0.335,0.0822,2.2305,0.083,,63.104,2.935,637.70485,354.841935,1268.161495,1199.90947,68.252025,25.79172,,343.163,243.953,444.777,114.171,363.949,798.927,360.983,553.99,293.217,242.195,451.059,160.22,,,80.8126255,5.215295123,13.97207938,
穀物類,"雜糧高筋麵粉",360.2967,12.421,14.288,2.7543,0.7869,0.9477,69.589,5.3205,1.054,0.215,0.106,,0.388,0.345,0,2.3,218.074,23.947,64.502,1.87,1.695,190.678,0.0222,0.151,0.906,0.9086,0.332,0.0397,2.6331,0.121,,61.379,9.503,786.931053,445.067337,1478.177724,1404.830715,73.347009,44.123886,,360.19,251.817,475.727,0,396.59,866.734,398.739,618.75,306.476,263.6,481.711,151.397,,,78.41523392,6.305206734,15.27955934,
穀物類,"白玉米",65.8248,83.8,3.4,0.64,,0.71,11.45,3.7,,,,,,,,5,200,5,30,0.6,0.7,100,,2.4167,10,,0.04,0.08,0.8,0.078,,8.6,11,,,,,,,,,,,,,,,,,,,,,,71.66599823,8.137966238,20.19603554,
穀物類,"紫玉米",167.894,59.444,4.461,1.032,0.286,0.6422,34.4208,4.9285,,,,,,,,0.9235,252.8611,5.3667,10.1837,0.9722,1.0202,138.5514,,0,0,0.2024,0.174,0.09,1.268,0.34,,11.01,4.255,285.9672,335.2968,410.8392,395.9784,13.2096,0,,163.368,54.085,212.035,42.757,158.815,532.392,144.531,196.67,150.959,136.384,145.335,0,,,84.4661853,5.144816154,10.38899855,
穀物類,"甜玉米",106.9033,75.7316,3.25,2.4772,0.7305,0.7107,17.8305,4.7079,6.954,1.614,1.502,,0,3.838,0,1.8639,268.7839,3.2496,33.6983,0.5378,0.6334,83.5367,0.0062,17.9907,106.4238,0.1542,0.1333,0.0953,1.8356,0.2025,,26.5703,5.4015,730.5361888,868.4790708,878.1005156,850.695252,27.4052636,0,,114.5467,40.257,138.728,33.8103,97.1177,324.2687,125.2863,132.3043,115.8443,90.6267,122.3193,50.5023,,,68.71784455,19.39524724,11.88690821,
穀物類,"雙色水果玉米",105.403,76.243,3.104,2.5503,0.7307,0.6463,17.4564,4.0294,7.795,3.557,3.047,,0,1.191,0,0.212,238.702,2.598,32.906,0.697,0.733,92.355,,0,0,0.2829,0.075,0.1183,2.0921,0.44,,5.746,5.808,730.737459,903.010224,895.180803,888.499017,6.681786,21.397017,,127.562,29.947,159.817,70.046,107.441,342.274,122.406,138.592,146.888,78.375,142.861,16.025,,,68.23368883,20.25180228,11.5145089,
穀物類,"糯玉米",172.1804,59.066,4.727,1.898,0.5357,0.8596,33.4494,3.4869,1.0849,0.6923,0.3926,,0,0,0,1.17,272.717,6.035,49.521,0.867,0.773,137.284,,0,0,0.2533,0.184,0.0938,1.4794,0.276,,6.464,3.981,535.74846,687.4556,666.61556,644.12426,22.4913,8.18038,,129.498,91.626,267.687,78.614,199.226,609.429,261.389,276.015,189.539,136.249,226.45,47.253,,,80.039053,9.226522807,10.73442419,
穀物類,"冷凍玉米粒",173.5786,65.6,3.1,8.2,,0.57,22.53,3.1,,,,,,,,8,210,3,24,0.58,0.48,72,,10.0005,45,,0.04,0.04,0.51,0.0364,,2.4,3.6,,,,,,,,,,,,,,,,,,,,,,53.47640781,39.54058853,6.983003665,
穀物類,"乾玉米粒",373.0182,11.9235,10.8765,3.9421,0.6193,1.0502,72.2077,12.8104,0.504,0,0,,0,0.504,0,0.744,258.931,6.4135,125.6065,2.4275,2.6335,273.333,0.0247,7.1073,42.635,0.7208,0.4735,0.074,1.4048,0.7046,,48.622,0,619.2960258,1040.607963,2274.130474,2227.578215,46.5522589,8.081305,,357.793,222.8045,448.1675,114.728,318.5375,1358.851,394.5565,485.362,263.4925,280.8155,399.6765,68.936,,,79.75367187,8.845513593,11.40081454,
穀物類,"玉米胚芽",365.8851,11.48,7.035,0.8954,0.1276,0.278,80.3116,5.6572,0,0,0,,0,0,0,1.3895,93.834,2.679,17.0766,0.759,0.4805,65.0028,,0.5976,3.585,0.0947,0.0635,0.025,1.209,0.1852,,42.1235,0,127.6070356,257.7668566,509.7745004,493.0439514,16.730549,0.255189,,217.68,175.551,318.716,98.6325,246.116,983.8165,260.4795,335.729,134.402,208.47,252.8325,64.4845,,,90.43378805,2.048319863,7.51789209,
穀物類,"玉米粉",368.578,10.87,0.323,0.4163,0.0752,0.0823,88.3084,0.1896,0,0,0,,0,0,0,13.778,4.272,2.4444,3.2564,0.2435,0.031,14.342,,0,0,0,0.006,0,0.099,0.0215,,12.2545,2.47,75.2491391,127.0480992,214.0002639,9.6365124,1.4553848,0,,,,,,,,,,,,,,,,98.71197917,0.94537148,0.342649346,
穀物類,"秈米平均值",356.5641,13.4388,7.823,0.8554,0.3541,0.5002,77.3827,0.5512,0,0,0,,0,0,0,1.8395,99.3163,4.8678,29.332,0.2638,1.3153,75.029,,0,0,0.0823,0.09,0.0245,1.5038,0.032,,15.729,0,354.118492,200.052398,301.22911,292.640894,8.588216,0,,272.325,219.4033,463.4725,167.0495,321.1378,642.3658,319.31,400.9395,281.2995,191.2348,640.5185,22.3128,,,89.41351602,2.007967975,8.578516004,
穀物類,"秈米(台中在來2號)",354.788,13.9,8.2,1,,0.6,76.3,0.5,,,,,,,,2,114,5,40,0.3,1.3,77,,,,0.1056,0.13,0.03,2.1,0.019,,12,,,,,,,,,288,230,507,184,350,679,338,432,313,210,706,0,,,88.60389867,2.359155327,9.036946007,
穀物類,"秈米(台中秈10號)",358.3403,12.9775,7.446,0.7108,0.2943,0.4004,78.4653,0.6023,0,0,0,,0,0,0,1.679,84.6325,4.7355,18.664,0.2275,1.3305,73.058,,0,0,0.059,0.05,0.0189,0.9075,0.045,,19.458,0,294.256984,166.234796,250.30822,243.171788,7.136432,0,,256.65,208.8065,419.945,150.099,292.2755,605.7315,300.62,369.879,249.599,172.4695,575.037,44.6255,,,90.21509532,1.660264317,8.124640363,
穀物類,"秈米(台中秈10號)(2024年取樣)",357.3916,12.99,6.114,0.56,0.2207,0.5305,79.8055,0.7475,0.149,0,0,0,0,0.149,0,0,133.47,5.58,39.77,0.39,1.85,164.42,0.1701,0,0,0.0844,0.066,0.0287,1.4936,0.08,0,28.606,0,220.68872,155.53048,180.84136,175.2688,5.57256,2.94,0,250.72,127.19,393.14,89.15,262.17,543.32,346.49,331.15,249.27,155.24,559.86,65,0,,91.99954895,1.311502565,6.688948481,
穀物類,"稉米平均值",353.9518,14.082,7.0319,0.6964,0.2078,0.3673,77.8224,0.692,0.0868,0.0128,0.0014,,0,0.0727,0,2.0019,79.2727,5.1087,20.1661,0.3879,1.4818,80.8004,0.008,0.4343,2.6053,0.1915,0.0787,0.0173,1.0904,0.08,,16.4882,0,207.763976,247.53538,241.2134608,233.307928,7.9055328,0.57453,,227.3965,327.9631,377.6502,111.6089,261.981,558.5095,279.6594,336.9374,230.2288,168.6222,530.6213,82.0594,,,90.58527489,1.646796711,7.767928401,
穀物類,"稉米(台中189號)",355.6145,13.54,7.5,0.56,0.1211,0.3412,78.0588,0.34,,,,,,,,2.76,84.7,5.32,12.01,0.7,1.46,77.17,,0,0,0.071,0.043,0.02,0.84,0.0537,,0,0,121.12184,230.22272,208.65264,202.01944,6.6332,0,,246.68,301.22,408.54,148.77,284.12,604.4,338.53,384.01,233.47,190.7,628.88,99.14,,,90.43565316,1.318056654,8.24629019,
穀物類,"稉米(台南11號)",348.3469,15.386,6.741,0.4819,0.1903,0.2173,77.1738,0.7578,0,0,0,,0,0,0,2.107,70.702,4.214,13.363,0.214,1.1,67.164,0.0069,0,0,0.1073,0.085,0.0205,0.7351,0.063,,14.599,0,190.25412,126.493931,163.378557,158.15958,5.218977,1.773392,,247.632,119.483,359.806,113.702,242.486,587.729,326.338,369.339,252.886,181.794,557.249,238.796,,,91.2757037,1.157898451,7.566397848,
穀物類,"稉米(台稉2號)",356.7255,13.2077,7.205,0.5069,0.1437,0.3641,78.7163,0.5784,0,0,0,,0,0,0,2.3843,65.2483,5.0863,17.9057,0.43,1.146,88.682,,1.1927,7.155,0.1766,0.0753,0.0205,1.0307,0.0946,,22.184,0,143.6995603,184.7280463,178.5600871,172.7505062,5.8095809,0.1231767,,230.115,495.5986,383.858,105.262,269.9153,575.2847,281.0803,349.5513,225.433,164.7957,535.7753,61.2503,,,90.91337549,1.189360864,7.897263649,
穀物類,"稉米(台稉8號)",355.2428,13.502,6.928,0.4024,0.1236,0.336,78.8316,0.4746,0,0,0,,0,0,0,1.5755,63.562,4.397,15.861,0.352,1.6345,72.376,,1.7034,10.2185,0.2832,0.054,0.0132,0.9842,0.0995,,11.892,0,123.643436,142.2709344,137.8344744,132.1316616,5.7028128,0.17102,,223.9515,577.1707,356.0195,86.0135,250.798,538.452,266.829,322.885,221.721,158.8455,495.3445,45.3825,,,91.42654786,0.948108837,7.6253433,
穀物類,"稉米(台稉9號)",353.2311,14.3045,6.58,0.6335,0.1926,0.2779,78.2041,0.5678,0,0,0,,0,0,0,1.94,70.8395,5.1885,18.3915,0.193,1.5155,73.568,,0,0,0.1395,0.062,0.0176,1.0546,0.122,,12.2875,0,192.5947695,229.684294,213.288047,206.686977,6.60107,0.7380275,,230.233,576.3444,357.4785,101.5365,252.786,559.37,251.156,284.533,220.0495,161.265,493.6145,39.5675,,,91.21532726,1.501112217,7.283560521,
穀物類,"稉米(台農71號)",356.6444,13.3133,7.9183,0.6393,0.2215,0.3784,77.7507,0.8958,0.0633,0,0,,0,0.0633,0,1.6953,64.6543,4.7233,12.6677,0.289,1.352,62.6763,0.0091,1.0125,6.074,0.1153,0.067,0.0123,0.8106,0.0503,,11.3373,0,221.5059426,200.6289618,216.1172829,209.5772439,6.540039,1.0439769,,239.4823,144.2733,392.5933,135.5413,266.775,543.581,302.1353,353.6977,239.0797,184.4753,553.35,101.7027,,,89.81857104,1.500357592,8.681071372,
穀物類,"稉米(高雄139號)",357.2448,13.6828,6.1225,1.1844,0.302,0.517,78.4933,1.2904,0.4245,0.0595,0.011,,0,0.354,0,2.2,116.5583,6.1535,42.2165,1.0093,1.8088,130.9928,,0,0,0.4554,0.1253,0.0156,2.1826,0.0865,,29.1903,0,302.0362128,469.8135792,412.4305836,399.5419428,12.8886408,0.3351852,,208.67,461.6992,360.255,50.285,254.5513,514.5508,154.0225,293.319,220.7768,143.271,428.6018,38.412,,,90.52403195,2.774967761,6.701000285,
穀物類,"稉米(高雄142號)",352.516,14.3,7,0.6,,0.4,77.7,0.2,,,,,,,,4,74,6,19,0.2,1.4,49,,,,0.168,0.1,0.03,0.7,0.023,,3,,,,,,,,,240,413,407,134,268,559,326,352,235,181,597,0,,,90.81119722,1.424616188,7.76418659,
穀物類,"稉米(高雄145號)",364.4454,11.819,6.768,0.9792,0.3388,0.3885,80.0453,0.9515,0.207,0.043,0,,0,0.164,0,0.566,92.777,5.162,29.456,0.346,1.579,97.247,,0,0,0.306,0.111,0.0232,1.4302,0.096,,35.584,0,338.8032,327.15072,313.344,304.0416,9.3024,0,,234.111,97.039,383.073,137.736,268.468,572.359,279.537,350.16,241.098,158.185,546.708,82.827,,,90.48999326,2.248870078,7.261136661,
穀物類,"稉米(高雄139號)(2021年取樣)",352.2554,14.406,5.666,0.4619,0.1802,0.2828,79.1833,0.7871,0.129,0,0,0,0,0.129,0,0.71,53.41,3.21,17.01,0,1.53,58.98,0.1989,0,0,0.111,0.038,0,0.6904,0,0,14.122,0,180.164095,122.6127407,154.0939971,149.1488957,4.9451014,5.0287053,0,141.49,60.73,293.27,40.95,193.86,432.39,198.88,254.17,168.11,106.87,374.89,62.98,0,,92.61326696,1.097528512,6.289204531,
穀物類,"越光米",339.5073,17.765,7.556,0.9765,0.2263,0.4525,73.25,0.8641,0,0,0,,0,0,0,0.7905,89.6855,4.8421,20.7896,0.1455,1.822,89.1276,,0,0,0.0927,0.0645,0,1.136,0.1115,,24.808,0,226.264815,390.902715,359.33247,346.803975,12.528495,0,,173.0905,93.8025,367.8785,103.243,261.91,530.3685,270.966,309.8785,212.7735,161.8905,469.6895,113.516,,,88.89058677,2.407402092,8.702011134,
穀物類,"越光米(台南16號)(2024年取樣)",355.8933,13.27,6.948,0.33,0.1444,0.3344,79.1176,0.8899,0.116,0,0,0,0,0.116,0,1.37,94.34,4.82,20.14,0.37,1.59,88.29,0.2988,0,0,0.0847,0.053,0.02,0.9865,0.07,0,22.75,0,144.3882,84.38958,90.84174,87.89781,2.94393,3.81414,0,221.17,89.9,351.98,37.9,229.42,502.03,283.26,302.32,204.1,131.53,516.75,58.31,0,,91.59051865,0.776103417,7.633377928,
穀物類,"秈型糯米(台中糯70號)",361.3604,12.355,7.8625,0.89,0.2399,0.4535,78.439,0.4203,,,,,,,,1.31,94.87,5.08,31.335,0.15,1.015,79.545,,0,0,0.5108,0.093,0.0305,1.685,0.0865,,55.93,0,239.88081,320.3555,329.75924,318.41797,11.34127,0,,279.385,755.829,469.115,147.81,317.67,671.9,335.195,414.07,263.26,196.755,616.105,0,,,89.43113862,2.061460229,8.507401151,
穀物類,"稉型糯米平均值",358.1558,13.142,8.29,0.81,0.2292,0.34,77.418,0.7,,,,,,,,3.11,105.85,6.66,25.02,0.415,0.88,82.45,,0,0,0.3987,0.117,0.025,1.275,0.0736,,18.5,2.33,229.15467,267.36399,313.4781,301.43259,12.04551,0,,236.21,327.2,451.92,149.935,306.055,662.13,387.355,415.87,259.86,204.25,701.055,54.47,,,89.05682824,1.892947359,9.050224405,
穀物類,"稉型糯米",358.6265,12.784,8.38,0.52,0.1471,0.28,78.036,0.7,,,,,,,,2.22,118.7,6.32,23.04,0.43,0.86,109.9,,0,0,0.42,0.094,0.02,1.65,0.1321,,14,2.33,147.11164,171.64108,201.2452,193.51228,7.73292,0,,271.42,328.3999,447.84,138.87,307.11,660.26,356.71,414.74,254.72,203.5,667.11,108.94,,,89.64990096,1.213630269,9.13646877,
穀物類,"稉型糯米(台稉糯1號)",357.685,13.5,8.2,1.1,,0.4,76.8,0.7,,,,,,,,4,93,7,27,0.4,0.9,55,,,,0.3773,0.14,0.03,0.9,0.015,,23,,,,,,,,,201,326,456,161,305,664,418,417,265,205,735,0,,,88.46219439,2.574052588,8.963753023,
穀物類,"野生紅米",359.713,13.695,7.693,2.5955,0.581,1.2813,74.7352,3.4268,0.2594,0,0,,0,0.2594,0,8.286,252.65,15.025,108.167,0.714,2.87,320.613,,0,0,0.9032,0.357,0.0274,5.758,0.208,,108.441,0,581.002675,1084.81518,924.543055,892.099305,32.44375,5.113135,,238.58,155.223,411.874,152.749,271.525,574.108,305.964,344.712,261.148,210.389,542.029,177.47,,,85.59852811,6.03935239,8.362119501,
穀物類,"紅糯糙米",361.6964,13.133,9.92,2.8463,0.7399,1.5071,72.5936,4.4756,0.342,0,0,,0,0.342,0,0.591,329.764,11.7899,133.4491,0.99,3.026,346.2471,,0,0,0.4225,0.444,0.048,7.448,0.207,,78.748,0,739.924148,1029.022839,1076.100641,1035.113921,40.98672,1.280835,,345.829,168.251,569.733,153.981,405.935,805.896,446.878,481.882,374.359,255.717,768.382,165.473,,,82.68969849,6.586610604,10.72369091,
穀物類,"黑秈糯糙米",357.4076,14.81,10.1235,3.465,0.8627,1.4989,70.1026,3.293,,,,,,,,2.5,301.85,8.825,121.25,1.555,1.7285,205.345,,1.9477,9.91,1.3721,0.458,0.1,6.515,0.2498,,60.45,10.25,862.712235,1411.769205,1190.49777,1149.725115,40.772655,0,,343.52,336.9739,533.79,175.995,382.56,791.93,426.845,482.695,376.405,258.75,795.195,70.69,,,80.81044556,8.114557773,11.07499667,
穀物類,"胚芽秈米(台中秈10號)",363.0183,12.3405,8.272,2.0718,0.5477,1.2638,76.0519,2.7862,0.48,0,0,,0,0.48,0,1.608,267.8175,8.7725,119.239,0.9295,2.185,313.5975,,1.9156,11.4915,0.8102,0.353,0.0378,6.2902,0.2825,,34.7275,0,547.6927608,786.7018242,736.0318116,709.0921962,26.9396154,1.419183,,278.0605,840.3245,421.561,97.476,290.543,613.256,292.103,448.6445,290.576,195.1005,558.267,49.756,,,86.31350428,4.776884617,8.9096111,
穀物類,"胚芽稉米平均值",361.7421,12.669,8.1985,1.5692,0.464,0.7304,76.833,1.5315,0.1665,0,0,,0,0.1665,0,1.4755,127.955,7.805,53.336,0.5615,1.6165,163.6375,0.0092,0.1338,0.8025,0.9924,0.279,0.0425,2.5214,0.12,,21.8705,0.065,464.01244,560.455472,544.724242,523.83819,19.842534,0,,252.431,113.7165,374.6075,111.2385,264.4315,619.366,318.1105,372.231,259.024,176.6305,583.953,86.159,,,87.50758783,3.63081786,8.861594314,
穀物類,"胚芽稉米(台稉10號）",360.3746,13.072,7.28,1.6679,0.4918,0.8079,77.1722,1.7754,0.024,0,0,,0,0.024,0,1.039,148.912,7.653,60.045,0.606,1.53,178.981,,0,0,1.1889,0.31,0.0326,2.2886,0.125,,15.365,0.13,491.813673,636.053665,540.032662,521.018602,19.01406,0,,251.664,103.703,398.92,113.256,282.265,603.867,307.632,359.112,265.039,187.05,614.638,98.333,,,88.22749313,3.873836698,7.898670169,
穀物類,"胚芽稉米(台稉9號)",363.1096,12.266,9.117,1.4705,0.436,0.6528,76.4937,1.2875,0.309,0,0,,0,0.309,0,1.912,106.998,7.957,46.627,0.517,1.703,148.294,0.0092,0.2676,1.605,0.7958,0.248,0.0524,2.7541,0.115,,28.376,0,436.047365,489.632385,544.805545,522.424535,20.425245,0,,253.198,123.73,350.295,109.221,246.598,634.865,328.589,385.35,253.009,166.211,553.268,73.985,,,86.79309081,3.389633608,9.817275582,
穀物類,"發芽稉米平均值",354.9414,14.8175,7.798,2.3453,0.5447,1.0535,73.9857,3.335,0.167,0.167,0,,0,0,0,3.2655,126.2565,29.2195,104.617,0.918,2.098,254.109,,2.2643,13.583,1.1181,0.2885,0.0628,5.2031,0.132,,22.494,0.011,544.695925,1036.141814,763.5475945,734.78249,28.7651045,0.9263935,,240.2685,115.624,382.7665,113.384,267.006,561.569,314.4805,357.485,284.9475,196.0175,570.676,114.5935,,,85.87926416,5.530535355,8.590200482,
穀物類,"發芽稉米(台稉71號)",356.7383,14.828,7.406,2.8031,0.5646,1.0991,73.8638,3.3183,0.334,0.334,0,,0,0,0,3.314,167.003,30.75,115.43,0.824,2.254,285.424,,0,0,0.7207,0.29,0.0876,6.4663,0.14,,24.426,0,564.600402,1275.802934,961.435269,925.948023,35.487246,1.233364,,255.817,144.871,423.644,140.097,283.282,597.159,376.347,393.379,291.655,220.677,623.261,141.442,,,85.30591965,6.576795773,8.117284576,
穀物類,"發芽稉米(台稉9號）",353.1446,14.807,8.19,1.8875,0.4966,1.0079,74.1076,3.3516,0,0,0,,0,0,0,3.217,85.51,27.689,93.804,1.012,1.942,222.794,,4.5286,27.166,1.5155,0.287,0.0379,3.9399,0.124,,20.562,0.022,496.5635,808.699375,581.61425,559.209625,22.404625,0.660625,,224.72,86.377,341.889,86.671,250.73,525.979,252.614,321.591,278.24,171.358,518.091,87.745,,,86.45844315,4.473627965,9.067928882,
穀物類,"糙秈米",358.7368,14.373,7.285,3.2064,0.8013,1.4912,73.6444,3.2902,0.2851,0.1928,0,,0,0.0923,0,3.504,304.331,13.568,130.973,0.948,2.232,344.946,,0,0,0.5448,0.325,0.1478,7.9189,0.225,,36.845,0,801.27936,1278.487872,1126.08768,1085.462592,40.625088,0.577152,,250.072,139.77,399.203,126.92,265.698,536.86,302.747,359.699,281.947,191.953,546.505,146.456,,,84.57869087,7.481129496,7.940179638,
穀物類,"糙稉米平均值",364.2759,12.506,7.436,2.3292,0.572,1.1012,76.6276,4.503,0.45,0,0,,0,0.45,0,3.071,220.282,12.755,99.672,1.035,1.865,238.834,,0,0,1.7122,0.334,0.0502,5.4297,0.144,,27.073,0.099,572.028228,1010.360376,745.320708,718.767828,26.55288,1.490688,,257.61,110.501,388.86,99.866,279.467,601.996,311.478,356.196,275.016,170.155,605.544,99.527,,,86.66665371,5.351824066,7.981522224,
穀物類,"糙稉米(台稉71號)",360.3815,13.595,8.955,2.6203,0.5232,1.1803,73.6494,3.5349,0.4907,0,0,,0,0.4907,0,3.054,223.156,8.573,113.952,1.547,2.085,284.097,,0,0,1.0541,0.373,0.07,6.321,0.126,,16.571,0,523.169098,1170.435604,924.70387,889.59185,35.11202,2.017631,,333.815,201.608,537.997,18.331,362.201,309.818,348.784,441.128,344.396,227.019,730.535,184.994,,,84.1984223,6.085748483,9.715829217,
